facture_id;client_id;raison_sociale;contact_email;jours_retard;code_modele;objet_email;corps_email
FAC-2026-0105;CL-240;Association Sport pour Tous;compta@association.sport.pour.tous.fr;18;RELANCE_1;Rappel aimable — facture FAC-2026-0105;"Bonjour Julie Zidane,
Sauf erreur de notre part, la facture FAC-2026-0105 de 2663.15 € TTC, échue le 09/07/2026, reste en attente de règlement. Il s'agit sans doute d'un oubli — merci de le régulariser sous 8 jours.
Bien cordialement,
Service ADV Fournitex"
FAC-2026-0106;CL-233;Paysagiste Vertparc;compta@paysagiste.vertparc.fr;18;RELANCE_1;Rappel aimable — facture FAC-2026-0106;"Bonjour Nadia Roche,
Sauf erreur de notre part, la facture FAC-2026-0106 de 1260.01 € TTC, échue le 09/07/2026, reste en attente de règlement. Il s'agit sans doute d'un oubli — merci de le régulariser sous 8 jours.
Bien cordialement,
Service ADV Fournitex"
FAC-2026-0107;CL-211;Plomberie Aquanet;compta@plomberie.aquanet.fr;27;RELANCE_1;Rappel aimable — facture FAC-2026-0107;"Bonjour Inès Meyer,
Sauf erreur de notre part, la facture FAC-2026-0107 de 1682.21 € TTC, échue le 30/06/2026, reste en attente de règlement. Il s'agit sans doute d'un oubli — merci de le régulariser sous 8 jours.
Bien cordialement,
Service ADV Fournitex"
FAC-2026-0108;CL-232;Serrurerie Sécurit;compta@serrurerie.securit.fr;18;RELANCE_1;Rappel aimable — facture FAC-2026-0108;"Bonjour Marc Dubois,
Sauf erreur de notre part, la facture FAC-2026-0108 de 1312.22 € TTC, échue le 09/07/2026, reste en attente de règlement. Il s'agit sans doute d'un oubli — merci de le régulariser sous 8 jours.
Bien cordialement,
Service ADV Fournitex"
FAC-2026-0109;CL-229;Cabinet Dentaire Molaire;compta@cabinet.dentaire.molaire.fr;18;RELANCE_1;Rappel aimable — facture FAC-2026-0109;"Bonjour Nicolas Benali,
Sauf erreur de notre part, la facture FAC-2026-0109 de 150.44 € TTC, échue le 09/07/2026, reste en attente de règlement. Il s'agit sans doute d'un oubli — merci de le régulariser sous 8 jours.
Bien cordialement,
Service ADV Fournitex"
FAC-2026-0110;CL-229;Cabinet Dentaire Molaire;compta@cabinet.dentaire.molaire.fr;18;RELANCE_1;Rappel aimable — facture FAC-2026-0110;"Bonjour Nicolas Benali,
Sauf erreur de notre part, la facture FAC-2026-0110 de 3245.35 € TTC, échue le 09/07/2026, reste en attente de règlement. Il s'agit sans doute d'un oubli — merci de le régulariser sous 8 jours.
Bien cordialement,
Service ADV Fournitex"
FAC-2026-0111;CL-209;Studio Graphique Pixel;compta@studio.graphique.pixel.fr;18;RELANCE_1;Rappel aimable — facture FAC-2026-0111;"Bonjour Marc Roche,
Sauf erreur de notre part, la facture FAC-2026-0111 de 3617.80 € TTC, échue le 09/07/2026, reste en attente de règlement. Il s'agit sans doute d'un oubli — merci de le régulariser sous 8 jours.
Bien cordialement,
Service ADV Fournitex"
FAC-2026-0112;CL-215;Laboratoire BioSud;compta@laboratoire.biosud.fr;27;RELANCE_1;Rappel aimable — facture FAC-2026-0112;"Bonjour Paul Benali,
Sauf erreur de notre part, la facture FAC-2026-0112 de 2779.34 € TTC, échue le 30/06/2026, reste en attente de règlement. Il s'agit sans doute d'un oubli — merci de le régulariser sous 8 jours.
Bien cordialement,
Service ADV Fournitex"
FAC-2026-0113;CL-225;Opticien Vision Claire;compta@opticien.vision.claire.fr;18;RELANCE_1;Rappel aimable — facture FAC-2026-0113;"Bonjour Emma Fontaine,
Sauf erreur de notre part, la facture FAC-2026-0113 de 1079.87 € TTC, échue le 09/07/2026, reste en attente de règlement. Il s'agit sans doute d'un oubli — merci de le régulariser sous 8 jours.
Bien cordialement,
Service ADV Fournitex"
FAC-2026-0114;CL-206;Boulangerie Pains & Traditions;compta@boulangerie.pains.et.traditions.fr;34;RELANCE_2;Relance — facture FAC-2026-0114 impayée;"Bonjour Karim Fontaine,
Malgré notre premier rappel, la facture FAC-2026-0114 (1596.16 € TTC, échéance 23/06/2026) demeure impayée. Merci de procéder au règlement sous 8 jours ou de nous contacter en cas de difficulté.
Cordialement,
Service ADV Fournitex"
